,NAME,Team,POWER,CONTACT,VISION,SPEED,BASERUNNING
0,살라디노,Lions,64,57,80,58,69
1,호잉,Eagles,42,40,38,48,41
2,알테어,Dinos,85,57,48,93,73
3,마차도,Giants,46,57,55,63,73
4,터커,Tigers,81,63,69,21,26
5,러셀,Heroes,26,52,46,32,70
6,화이트,Landers,59,28,105,13,51
7,박병호,Heroes,73,46,85,19,50
8,김현수,Twins,62,68,58,31,26
9,이대호,Giants,52,60,49,20,54
10,페르난데스,Bears,51,70,49,21,37
11,황재균,Wiz,65,64,45,68,35
12,김하성,Heroes,70,63,69,62,73
13,로맥,Landers,85,58,88,29,46
14,반즈,Eagles,53,54,48,41,46
15,김응민,Lions,4,46,34,18,51
16,이해창,Eagles,38,55,38,18,27
17,정훈,Giants,43,61,67,59,73
18,오태곤,Landers,40,56,29,74,56
19,이상호,Dinos,5,27,26,70,34
20,유강남,Twins,50,54,38,21,43
21,이천웅,Twins,25,53,56,56,32
22,최영진,Lions,19,61,63,32,26
23,김동한,Giants,24,45,39,76,54
24,정진호,Eagles,25,57,51,47,26
25,고종욱,Landers,29,58,28,40,26
26,김민하,Eagles,39,58,54,18,51
27,허일,Giants,27,37,48,8,51
28,강경학,Eagles,35,47,84,37,32
29,오준혁,Landers,35,55,39,28,26
30,정진기,Landers,31,49,28,89,73
31,이원재,Dinos,51,53,43,60,56
32,류지혁,Tigers,46,78,11,51,44
33,박세혁,Bears,31,55,47,49,40
34,유민상,Tigers,39,50,66,10,50
35,박정음,Heroes,15,38,24,116,73
36,김규민,Heroes,22,43,26,74,56
37,구자욱,Lions,55,63,57,64,73
38,박찬도,Lions,27,45,74,69,64
39,박해민,Lions,40,60,41,83,73
40,김준태,Giants,33,46,86,37,26
41,하주석,Eagles,21,59,26,35,59
42,박승욱,Wiz,29,54,49,97,64
43,김민식,Tigers,21,51,41,25,50
44,최항,Landers,22,54,77,38,55
45,최정민,Tigers,0,23,104,83,56
46,한유섬,Landers,84,51,74,40,60
47,박민우,Dinos,42,71,39,67,45
48,황윤호,Tigers,14,50,23,51,61
49,강진성,Dinos,50,63,26,50,73
