Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Tyler Saladino 살라디노","Lions (KBO)",30,163,0.14110429,0.25153374,0.56097561,0.28030303,0.41104294,0.47727273,0.88831567,0.1969697,4.91094518300347,0.36046512,0.7197547942050733,29.613811656988396,8.215061545527709,0.40677678329081624,138.39038029201484,"10807"
"Jared Hoying 호잉","Eagles (KBO)",31,134,0.06716418,0.25373134,0.26470588,0.19354839,0.25373134,0.32258065,0.57631199,0.12903226,4.083890571512938,0.23255814,-0.39646763156633824,8.440181687020386,-9.151428834057723,0.2653143299159719,47.97844789087069,"10882"
"Aaron Altherr 알테어","Dinos (KBO)",29,546,0.08424908,0.27289377,0.30872483,0.2780083,0.35164835,0.54149378,0.89314213,0.26348548,7.908205948640401,0.33441558,2.968583978654351,91.20191441239365,19.522665572776866,0.3893243832921894,127.23614698649963,"11270"
"Dixon Machado 마차도","Giants (KBO)",28,560,0.09642857,0.10714286,0.9,0.27983539,0.35611511,0.4218107,0.77792581,0.14197531,5.359526333023514,0.29383886,2.4868034343235195,76.91926827858687,3.4020899815440204,0.3539500836861263,104.62761229463679,"11472"
"Preston Tucker 터커","Tigers (KBO)",29,631,0.12044374,0.10618067,1.13432836,0.30627306,0.3977813,0.55719557,0.95497687,0.25092251,1.7861853178238465,0.29977629,-0.9837894076481462,122.37849609248441,39.54038983278079,0.421393287219819,147.7321266964007,"13633"
"Addison Russell 러셀","Heroes (KBO)",26,542,0.08118081,0.13653137,0.59459459,0.25409836,0.31734317,0.33606557,0.65340874,0.08196721,2.761804476590659,0.28846154,0.7540677759097889,51.55815538164141,-19.595970755853628,0.3036189606896153,72.45982514353805,"14106"
"Tyler White 화이트","Wyverns (KBO)",29,60,0.2,0.03333333,6,0.13636364,0.36666667,0.31818182,0.68484849,0.18181818,1.080357142857143,0.1,-0.005991161218844354,7.618497347994212,-0.2583431838318066,0.3415778299172719,96.72021817900232,"15564"
"ByungHo Park 박병호","Heroes (KBO)",33,383,0.14882507,0.29765013,0.5,0.22330097,0.35248042,0.44983819,0.80231861,0.22653722,1.601190455357143,0.26373626,-0.03494844044325873,54.71005120697993,4.4295524788238305,0.36049353372393633,108.80968286088893,"18497"
"Hyun Soo Kim 김현수","Twins (KBO)",32,619,0.10177706,0.08562197,1.18867925,0.3308958,0.39741519,0.52285192,0.92026711,0.19195612,2.6359790854643563,0.33194154,-0.9851207768078893,112.68056676821178,31.417828614873333,0.4072018267672046,138.66203542832827,"18718"
"Dae-Ho Lee 이대호","Giants (KBO)",38,611,0.08674304,0.11129296,0.77941176,0.29151292,0.35351882,0.45202952,0.80554834,0.1605166,1.686201131935785,0.29677419,0.14674523659050465,85.4177264942728,5.205233745177844,0.35686297016682417,106.48930555176715,"18722"
