Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,PlayerId
"Chad Bell 채드벨","Eagles (KBO)",31,77,7.12987012987013,4.090909090909091,1.74285714,1.1688311688311688,0.17630058,0.10115607,0.07514451,0.27777778,1.5584415584415585,0.31914894,0.63963964,5.961038961038961,5.178144528029802,0.782894433009159,"10297"
"Eric Jokisch 요키시","Heroes (KBO)",30,159.2,6.482255110277092,1.4091858935384982,4.6,0.33820461444923955,0.1796875,0.0390625,0.140625,0.2364532,1.0584551822578052,0.28278689,0.73229292,2.141962558178517,3.1462870091642663,-1.0043244509857492,"11157"
"David Buchanan 뷰캐넌","Lions (KBO)",31,174.2,6.234733187536178,2.5763360279075114,2.42,0.8244275289304037,0.16620879,0.06868132,0.09752747,0.25633383,1.2709924404343724,0.29213483,0.76476283,3.4522902773960653,4.300158056410648,-0.847867779014583,"11176"
"Nick Kingham 킹험","Wyverns (KBO)",28,10.2,5.062500301748532,3.375000201165688,1.5,0.843750050291422,0.11538462,0.07692308,0.03846154,0.33333333,1.8750001117587156,0.36585366,0.48387097,6.750000402331376,4.734556938335304,2.015443463996072,"11694"
"Drew Rucinski 루친스키","Dinos (KBO)",31,183,8.21311475409836,2.80327868852459,2.92982456,0.6885245901639344,0.21688312,0.07402597,0.14285715,0.24643875,1.2568306010928962,0.30518234,0.78590786,3.0491803278688523,3.7999598711566196,-0.7507795432877673,"12499"
"Drew Gagnon 가뇽","Tigers (KBO)",30,159.2,7.94780843955713,3.6075158874585553,2.203125,0.39457205019077946,0.2008547,0.09116809,0.10968661,0.25755167,1.4154489419542249,0.32224532,0.6616341,4.340292552098574,3.6911722213324856,0.6491203307660882,"12545"
"Mike Wright 라이트","Dinos (KBO)",30,157.2,7.135307014275453,3.5961947351948282,1.98412698,0.6849894733704435,0.1795977,0.09051724,0.08908046,0.26324238,1.4397463931026915,0.3127572,0.68119891,4.680761401364697,4.3086187561671885,0.37214264519750895,"12586"
"Tyler Wilson 윌슨","Twins (KBO)",30,144.2,6.781106467610476,2.42626745171384,2.79487179,0.8087558172379467,0.17356688,0.06210191,0.11146497,0.27710843,1.3824885764751225,0.32244009,0.6691254,4.417051001838016,4.151751610870695,0.26529939096732047,"12691"
"Raúl Alcántara 알칸타라","Bears (KBO)",27,198.2,8.244966231865435,1.359060367889907,6.06666667,0.5436241471559627,0.22893082,0.03773585,0.19119497,0.23015873,1.0268456112945963,0.28825623,0.79001019,2.536912686727826,3.057753186144059,-0.520840499416233,"12790"
"Warwick Saupold 서폴드","Eagles (KBO)",30,165,5.290909090909091,2.290909090909091,2.30952381,1.0363636363636364,0.13215259,0.05722071,0.07493188,0.29896907,1.4848484848484849,0.3268206,0.6525497,4.909090909090909,4.83701898690426,0.07207192218664904,"13211"
