,NAME,Team,K Ability,H Ability,CONTROL,BREAK,CLUTCH
0,채드벨,Eagles,52,49,52,45,46
1,요키시,Heroes,47,52,83,84,53
2,뷰캐넌,Lions,45,51,69,61,56
3,킹험,Landers,37,46,60,60,37
4,루친스키,Dinos,60,52,67,68,57
5,가뇽,Tigers,58,51,57,81,48
6,라이트,Dinos,52,50,57,68,49
7,윌슨,Twins,49,49,71,62,49
8,알칸타라,Bears,60,53,84,75,57
9,서폴드,Eagles,38,48,73,51,47
10,쿠에바스,Wiz,46,51,69,57,50
11,샘슨,Giants,44,48,70,55,47
12,플렉센,Bears,74,53,73,78,52
13,라이블리,Lions,56,53,63,59,52
14,데스파이네,Wiz,48,49,65,63,52
15,핀토,Landers,45,48,41,50,47
16,오승환,Lions,54,52,66,82,59
17,양현종,Tigers,57,50,60,68,47
18,브리검,Heroes,64,52,58,76,53
19,켈리,Twins,51,52,75,61,55
20,스트레일리,Giants,69,54,72,78,55
21,신정락,Eagles,76,47,38,30,41
22,이승현,Lions,63,53,51,15,63
23,이재학,Dinos,44,49,49,35,47
24,문성현,Heroes,57,51,22,72,55
25,김건태,Dinos,69,53,24,52,53
26,박시영,Giants,45,50,19,30,43
27,이태양,Landers,53,48,70,40,49
28,박종훈,Landers,56,52,47,62,50
29,임찬규,Twins,61,51,53,60,51
30,송윤준,Eagles,46,51,40,82,53
31,이현호,Eagles,64,49,30,-10,53
32,양현,Heroes,36,51,68,72,55
33,강동연,Dinos,46,49,51,47,46
34,김대우,Lions,31,48,64,51,49
35,김대우,Lions,57,51,44,91,53
36,김대우,Giants,31,48,64,51,49
37,김대우,Giants,57,51,44,91,53
38,임현준,Lions,47,51,71,67,63
39,홍건희,Bears,57,50,66,51,50
40,서진용,Landers,60,53,41,24,55
41,최성훈,Twins,47,49,49,87,56
42,윤명준,Bears,32,48,66,59,50
43,김태훈,Heroes,41,50,63,93,48
44,김태훈,Heroes,45,51,33,46,41
45,김태훈,Landers,41,50,63,93,48
46,김태훈,Landers,45,51,33,46,41
47,한현희,Heroes,53,50,71,69,47
48,김원중,Giants,63,53,59,43,52
49,홍성민,Dinos,35,54,75,68,63
50,임기영,Tigers,54,48,72,60,47
51,문승원,Landers,53,52,67,62,53
52,노성호,Lions,61,54,15,65,48
53,이형범,Bears,33,49,34,18,46
54,함덕주,Bears,65,51,60,85,51
55,박종기,Bears,50,48,43,51,51
56,조상우,Heroes,77,52,65,77,61
57,조성운,Heroes,42,50,55,44,47
58,박진형,Giants,77,47,68,31,53
59,구승민,Giants,63,56,54,44,54
60,고영창,Tigers,26,45,69,78,44
61,박준표,Tigers,56,54,83,75,53
62,김종수,Eagles,56,50,45,49,48
63,김정빈,Landers,58,54,-1,55,52
64,손정욱,Dinos,27,47,56,65,49
65,장현식,Tigers,42,44,43,18,37
66,임정호,Dinos,61,54,48,69,48
67,이상민,Lions,61,48,16,-17,59
68,박진우,Dinos,33,50,68,80,42
69,박세웅,Giants,48,48,66,43,52
70,조현우,Wiz,46,53,47,91,55
71,이영준,Heroes,52,50,52,47,54
72,문동욱,Eagles,33,56,-1,53,54
73,이인복,Giants,30,47,72,81,52
74,황영국,Eagles,58,45,23,35,41
75,조영우,Landers,32,47,65,34,49
76,이승진,Bears,69,50,54,75,45
77,이건욱,Landers,49,53,29,62,47
78,박민호,Landers,45,53,61,68,60
79,배재환,Dinos,50,53,13,61,57
80,홍성무,Dinos,52,47,8,16,37
81,김민수,Wiz,40,45,69,43,46
82,주권,Wiz,35,54,51,64,57
83,이상규,Twins,38,45,28,46,52
84,최원태,Heroes,40,50,64,39,48
85,김택형,Landers,63,49,7,8,37
86,임규빈,Heroes,35,47,72,-17,63
87,홍정우,Lions,63,48,57,30,46
88,배제성,Wiz,38,52,43,64,54
89,이민우,Tigers,41,48,53,56,41
90,박정수,Dinos,58,53,22,49,56
91,문경찬,Dinos,55,52,69,11,46
92,이준영,Tigers,61,47,41,82,51
93,김민우,Eagles,61,52,42,52,52
94,김범수,Eagles,65,51,19,31,55
95,구창모,Dinos,72,56,79,68,61
96,김대현,Twins,57,50,24,22,51
97,이영하,Bears,42,49,47,71,50
98,전상현,Tigers,86,55,51,65,51
99,남재현,Tigers,33,48,25,73,47
100,김주한,Landers,31,47,54,36,42
101,최성영,Dinos,29,49,38,10,50
102,고우석,Twins,80,53,51,80,47
103,김명신,Bears,47,47,72,17,63
104,최원준,Bears,50,50,70,49,58
105,박치국,Bears,60,52,49,71,52
106,최지광,Lions,66,54,25,81,49
107,장지훈,Lions,57,47,19,-7,37
108,강동호,Giants,48,49,42,-15,49
109,이승호,Heroes,40,49,64,47,49
110,박진태,Tigers,49,43,9,-17,46
111,박상원,Eagles,59,50,63,42,49
112,이원준,Landers,58,46,12,35,49
113,소이현,Dinos,42,56,-9,66,47
114,김민,Wiz,49,50,28,41,46
115,김민규,Bears,66,53,56,76,45
116,안우진,Heroes,75,58,50,65,55
117,김윤수,Lions,46,49,43,56,52
118,최채흥,Lions,55,52,63,65,51
119,이승헌,Giants,61,52,68,88,37
120,김진욱,Eagles,43,49,40,15,55
121,김영규,Dinos,53,48,78,25,46
122,손동현,Wiz,39,51,48,-4,51
123,정우영,Twins,52,56,59,83,54
124,조영건,Heroes,34,50,35,24,52
125,원태인,Lions,36,49,57,43,51
126,김현수,Tigers,38,47,-2,61,49
127,서준원,Giants,36,48,69,37,48
128,김기훈,Tigers,49,49,36,35,51
129,양승철,Tigers,30,44,11,41,49
130,김이환,Eagles,42,49,27,41,48
131,백승건,Landers,63,48,-9,-1,49
132,송명기,Dinos,54,52,53,42,58
133,배민서,Dinos,44,48,44,-17,47
134,고효준,Giants,46,53,25,19,55
135,노경은,Giants,38,51,68,40,50
136,안영명,Eagles,49,49,58,17,48
137,송은범,Twins,33,48,64,70,52
138,오주원,Heroes,46,49,100,-17,53
139,윤성환,Lions,14,50,37,100,42
140,정우람,Eagles,64,50,76,69,48
141,신재웅,Landers,37,46,23,-9,44
142,전유수,Wiz,39,51,51,72,49
143,이보근,Wiz,38,52,75,82,53
144,김진성,Dinos,77,53,77,64,56
145,김건국,Giants,64,52,70,73,52
146,김세현,Landers,55,50,44,30,49
147,장원삼,Giants,29,46,69,26,41
148,김상수,Heroes,61,51,56,75,43
149,진해수,Twins,77,50,51,75,51
150,유원상,Wiz,38,54,53,47,51
151,김강률,Bears,65,47,24,85,47
152,백정현,Lions,51,49,69,7,46
153,장필준,Lions,47,48,53,30,51
154,정찬헌,Twins,50,50,70,62,53
155,홍상삼,Tigers,83,56,-9,56,55
156,임창민,Dinos,76,51,35,55,47
157,최동환,Twins,48,51,78,56,55
158,유희관,Bears,27,46,69,57,48
159,오현택,Giants,31,51,76,41,58
160,강윤구,Dinos,47,45,44,40,50
161,장민재,Eagles,37,45,76,63,44
162,여건욱,Twins,43,47,85,-17,43
163,권오준,Lions,41,47,80,21,37
164,이민호,Twins,45,51,52,78,53
165,김윤식,Twins,37,47,62,56,45
166,브룩스,Tigers,56,52,83,89,55
167,채지선,Bears,67,50,22,62,56
168,김주온,Landers,38,45,24,32,51
169,김현준,Tigers,55,46,3,41,37
170,김재웅,Heroes,56,50,59,50,49
171,소형준,Wiz,45,50,64,81,51
172,허윤동,Lions,26,51,27,62,52
173,윤대경,Eagles,54,52,48,75,61
174,강재민,Eagles,76,53,61,74,57
175,조병욱,Wiz,25,46,51,40,44
176,이승민,Lions,40,47,23,20,50
177,김진호,Dinos,44,47,17,-17,59
178,정해영,Tigers,55,49,33,78,59
179,서덕원,Tigers,34,49,63,-17,47
180,최준용,Giants,57,50,60,57,51
181,이정용,Twins,64,52,56,26,60
182,신민혁,Dinos,41,47,67,0,57
183,권휘,Bears,48,49,53,69,51
184,김재열,Tigers,46,48,30,31,47
185,남호,Twins,50,56,30,77,50
186,심창민,Lions,68,53,6,38,39
187,양기현,Heroes,34,50,54,46,59
188,김성민,Heroes,58,49,46,46,45
189,박주홍,Eagles,50,48,31,14,41
190,우규민,Lions,41,48,80,74,40
191,원종현,Dinos,47,51,63,70,48
192,이현승,Bears,65,49,47,80,47
193,차우찬,Twins,52,50,53,47,50
194,박희수,Landers,69,50,57,32,49
195,이용찬,Bears,37,45,76,-11,43
196,장시환,Eagles,57,50,41,52,51
197,이상화,Wiz,31,55,29,44,48
198,하준호,Wiz,41,52,31,90,41
199,진명호,Giants,67,52,25,60,42
200,정영일,Landers,48,47,50,-9,50
201,이대은,Wiz,33,49,53,42,46
202,하재훈,Landers,50,46,34,35,42
203,정수민,Landers,46,55,66,100,63
204,김재윤,Wiz,63,51,74,51,58
205,김선기,Heroes,33,54,61,81,55
206,김진영,Eagles,68,52,57,53,53
207,송승준,Giants,66,48,39,66,49
208,윤정현,Heroes,26,42,61,54,40
